function,source,size,candidate_rva,aligned_pct,class,first_diff,hint,votes
?findPlayerTemplate@PlayerTemplateStore@@QBEPBVPlayerTemplate@@W4NameKeyType@@@Z,playertemplate.cpp,996,0x000E0F30,99,immediate-only,966,"1 literal(s): add eax,0xf0 vs eax,0x124",80
?doCollapseDoneStuff@StructureCollapseUpdate@@IAEXXZ,structurecollapseupdate.cpp,123,0x002A38A0,99,immediate-only,89,"1 literal(s): mov ecx,DWORD PTR [esi+0xc] vs ecx,DWORD PTR [esi+0x8]",8
?doToppleDoneStuff@StructureToppleUpdate@@IAEXXZ,structuretoppleupdate.cpp,382,0x002AF3D0,99,immediate-only,93,"2 literal(s): mov ecx,DWORD PTR [edi+0xc] vs ecx,DWORD PTR [edi+0x8]",13
?getFileInfo@Win32LocalFileSystem@@UBE_NABVAsciiString@@PAUFileInfo@@@Z,win32localfilesystem.cpp,105,0x009CDE50,99,immediate-only,18,"1 literal(s): add eax,0x4 vs eax,0x8",5
?calcRandomForce@@YAXMMMMAAUCoord3D@@@Z,slowdeathbehavior.cpp,312,0x00207F20,98,immediate-only,4,3 literal(s): push 0xcb vs 0x138,6
?getWidth@W3DDisplayString@@UAEHH@Z,w3ddisplaystring.cpp,99,0x006F53A0,98,immediate-only,26,"1 literal(s): lea esi,[ecx+0x4] vs esi,[ecx+0x8]",5
?setTimeOfDay@W3DShadowManager@@QAEXW4TimeOfDay@@@Z,w3dshadow.cpp,198,0x007B7B70,97,immediate-only,19,4 literal(s): fld DWORD PTR [eax+ecx*1+0x444] vs DWORD PTR [eax+ecx*1+0x4c4],6
?getModuleNameKey@BoneFXUpdate@@UBE?AW4NameKeyType@@XZ,bonefxupdate.cpp,104,0x00288E40,100,imm+reg,-1,0 imm / 0 reg: ,8
?getModuleNameKey@BridgeScaffoldBehavior@@UBE?AW4NameKeyType@@XZ,bridgescaffoldbehavior.cpp,104,0x001F5B00,100,imm+reg,-1,0 imm / 0 reg: ,8
?getSingleBitFromName@?$BitFlags@$0CG@@@SAHPBD@Z,damagefx.cpp,71,0x0037AA30,100,imm+reg,-1,0 imm / 0 reg: ,6
?getUnicodeString@Dict@@QBE?AVUnicodeString@@W4NameKeyType@@PA_N@Z,dict.cpp,96,0x00068600,100,imm+reg,-1,0 imm / 0 reg: ,6
?_M_skip_to_next@?$_Hashtable_iterator@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@VAsciiString@@U?$hash@VAsciiString@@@rts@@U?$_Select1st@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@@2@U?$equal_to@VAsciiString@@@5@V?$allocator@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@@2@@_STL@@QAEPAU?$_Hashtable_node@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@@2@XZ,gameaudio.cpp,65,0x007A5180,100,imm+reg,-1,0 imm / 0 reg: ,5
?push_back@?$vector@VAsciiString@@V?$allocator@VAsciiString@@@_STL@@@_STL@@QAEXABVAsciiString@@@Z,gameaudio.cpp,62,0x00757E20,100,imm+reg,-1,0 imm / 0 reg: ,5
??A?$map@IPAVImage@@U?$less@I@_STL@@V?$allocator@U?$pair@$$CBIPAVImage@@@_STL@@@3@@_STL@@QAEAAPAVImage@@ABI@Z,image.cpp,115,0x009A46C0,100,imm+reg,-1,0 imm / 0 reg: ,6
??4?$_Rb_tree@VAsciiString@@U?$pair@$$CBVAsciiString@@UCoord3D@@@_STL@@U?$_Select1st@U?$pair@$$CBVAsciiString@@UCoord3D@@@_STL@@@3@U?$less@VAsciiString@@@3@V?$allocator@U?$pair@$$CBVAsciiString@@UCoord3D@@@_STL@@@3@@_STL@@QAEAAV01@ABV01@@Z,inimapcache.cpp,178,0x0076ABF0,100,imm+reg,-1,0 imm / 0 reg: ,11
?erase@?$vector@UFXBoneInfo@@V?$allocator@UFXBoneInfo@@@_STL@@@_STL@@QAEPAUFXBoneInfo@@PAU3@0@Z,modulefactory.cpp,76,0x00380980,100,imm+reg,-1,0 imm / 0 reg: ,5
?getModuleNameKey@PhysicsBehavior@@UBE?AW4NameKeyType@@XZ,physicsupdate.cpp,104,0x0029A990,100,imm+reg,-1,0 imm / 0 reg: ,8
??4?$_Rb_tree@W4NameKeyType@@U?$pair@$$CBW4NameKeyType@@M@_STL@@U?$_Select1st@U?$pair@$$CBW4NameKeyType@@M@_STL@@@3@U?$less@W4NameKeyType@@@3@V?$allocator@U?$pair@$$CBW4NameKeyType@@M@_STL@@@3@@_STL@@QAEAAV01@ABV01@@Z,playertemplate.cpp,178,0x0076ABF0,100,imm+reg,-1,0 imm / 0 reg: ,11
??4?$_Rb_tree@W4NameKeyType@@U?$pair@$$CBW4NameKeyType@@W4VeterancyLevel@@@_STL@@U?$_Select1st@U?$pair@$$CBW4NameKeyType@@W4VeterancyLevel@@@_STL@@@3@U?$less@W4NameKeyType@@@3@V?$allocator@U?$pair@$$CBW4NameKeyType@@W4VeterancyLevel@@@_STL@@@3@@_STL@@QAEAAV01@ABV01@@Z,playertemplate.cpp,178,0x0076ABF0,100,imm+reg,-1,0 imm / 0 reg: ,11
??A?$map@W4NameKeyType@@MU?$less@W4NameKeyType@@@_STL@@V?$allocator@U?$pair@$$CBW4NameKeyType@@M@_STL@@@3@@_STL@@QAEAAMABW4NameKeyType@@@Z,playertemplate.cpp,115,0x00145070,100,imm+reg,-1,0 imm / 0 reg: ,6
??A?$map@W4NameKeyType@@W4VeterancyLevel@@U?$less@W4NameKeyType@@@_STL@@V?$allocator@U?$pair@$$CBW4NameKeyType@@W4VeterancyLevel@@@_STL@@@4@@_STL@@QAEAAW4VeterancyLevel@@ABW4NameKeyType@@@Z,playertemplate.cpp,115,0x00654E90,100,imm+reg,-1,0 imm / 0 reg: ,6
?erase@?$vector@UPrereqUnitRec@ProductionPrerequisite@@V?$allocator@UPrereqUnitRec@ProductionPrerequisite@@@_STL@@@_STL@@QAEPAUPrereqUnitRec@ProductionPrerequisite@@PAU34@0@Z,productionprerequisite.cpp,76,0x00755E10,100,imm+reg,-1,0 imm / 0 reg: ,5
?push_back@?$vector@UPrereqUnitRec@ProductionPrerequisite@@V?$allocator@UPrereqUnitRec@ProductionPrerequisite@@@_STL@@@_STL@@QAEXABUPrereqUnitRec@ProductionPrerequisite@@@Z,productionprerequisite.cpp,62,0x00755F10,100,imm+reg,-1,0 imm / 0 reg: ,5
?getModuleNameKey@SlowDeathBehavior@@UBE?AW4NameKeyType@@XZ,slowdeathbehavior.cpp,104,0x00207D10,100,imm+reg,-1,0 imm / 0 reg: ,8
?pauseCountdown@SpecialPowerModule@@UAEX_N@Z,specialpowermodule.cpp,84,0x0026A770,100,imm+reg,-1,0 imm / 0 reg: ,6
?getModuleNameKey@SpecialPowerModule@@UBE?AW4NameKeyType@@XZ,specialpowermodule.cpp,104,0x00269070,100,imm+reg,-1,0 imm / 0 reg: ,8
?getModuleNameKey@StructureCollapseUpdate@@UBE?AW4NameKeyType@@XZ,structurecollapseupdate.cpp,104,0x002AE310,100,imm+reg,-1,0 imm / 0 reg: ,8
?getModuleNameKey@StructureToppleUpdate@@UBE?AW4NameKeyType@@XZ,structuretoppleupdate.cpp,104,0x002AF310,100,imm+reg,-1,0 imm / 0 reg: ,8
?getModuleNameKey@SwayClientUpdate@@UBE?AW4NameKeyType@@XZ,swayclientupdate.cpp,104,0x00604560,100,imm+reg,-1,0 imm / 0 reg: ,7
?getModuleNameKey@ToppleUpdate@@UBE?AW4NameKeyType@@XZ,toppleupdate.cpp,104,0x002B1180,100,imm+reg,-1,0 imm / 0 reg: ,8
??$__copy@PAUVideo@@PAU1@H@_STL@@YAPAUVideo@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z,videoplayer.cpp,68,0x003B5F40,100,imm+reg,-1,0 imm / 0 reg: ,6
?push_back@?$vector@UVideo@@V?$allocator@UVideo@@@_STL@@@_STL@@QAEXABUVideo@@@Z,videoplayer.cpp,62,0x00755F10,100,imm+reg,-1,0 imm / 0 reg: ,5
?Resize@?$VectorClass@PAVRender2DClass@@@@UAE_NHPBQAVRender2DClass@@@Z,w3dcontrolbar.cpp,177,0x00AFEA70,100,imm+reg,-1,0 imm / 0 reg: ,11
?getModuleNameKey@W3DDefaultDraw@@UBE?AW4NameKeyType@@XZ,w3ddefaultdraw.cpp,104,0x00751260,100,imm+reg,-1,0 imm / 0 reg: ,7
?getModuleNameKey@W3DRopeDraw@@UBE?AW4NameKeyType@@XZ,w3dropedraw.cpp,104,0x0075A5D0,100,imm+reg,-1,0 imm / 0 reg: ,7
?getSingleBitFromName@?$BitFlags@$0BB@@@SAHPBD@Z,weaponset.cpp,71,0x0037AA30,100,imm+reg,-1,0 imm / 0 reg: ,6
?parseMajorFXList@DamageFX@@CAXPAVINI@@PAX1PBX@Z,damagefx.cpp,138,0x000660D0,100,structural,-1,"shape ratio 97%, sizes 138->135",8
?parseMinorFXList@DamageFX@@CAXPAVINI@@PAX1PBX@Z,damagefx.cpp,138,0x00066180,100,structural,-1,"shape ratio 97%, sizes 138->135",8
??0?$list@UCoord3D@@V?$allocator@UCoord3D@@@_STL@@@_STL@@QAE@ABV01@@Z,inimapcache.cpp,112,0x0076F63F,77,structural,0,"shape ratio 86%, sizes 112->112",5
?onObjectCreated@BoneFXUpdate@@MAEXXZ,bonefxupdate.cpp,140,0x00287A52,75,structural,0,"shape ratio 62%, sizes 140->140",6
?getClassMemoryPool@AutoHealBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x001EEAFA,73,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@BridgeScaffoldBehavior@@CAPAVMemoryPool@@XZ,bridgescaffoldbehavior.cpp,110,0x001F5AFA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@BridgeTowerBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x001F60EA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@InstantDeathBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00200BFA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SlowDeathBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00207D0A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@PropagandaTowerBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0020304A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FireWeaponWhenDamagedBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x001FB4AA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FireWeaponWhenDeadBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x001FBECA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@PoisonedBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00202B0A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SupplyWarehouseCripplingBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0020D6AA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CreateCrateDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00253ECA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CreateObjectDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002546DA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CrushDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00254BEA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@DestroyDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00254FDA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FXListDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002553BA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SpecialPowerCompletionDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00255E9A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@UpgradeDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0025613A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@KeepObjectDie@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002558CA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SpawnBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0020B0EA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@LockWeaponCreate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0024FCAA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SupplyCenterCreate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002502EA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SupplyWarehouseCreate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002504DA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@GrantUpgradeCreate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0024F8DA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@PreorderCreate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0024FEFA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SpecialPowerCreate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002500FA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FireWeaponCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0021638A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SquishCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00216BFA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@HealCrateCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00217B4A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@MoneyCrateCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00217D8A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SalvageCrateCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002180EA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ShroudCrateCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0021876A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@UnitCrateCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002188EA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@VeterancyCrateCollide@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00218C9A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@InactiveBody@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00213D5A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CashHackSpecialPower@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002584BA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@DefectorSpecialPower@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00259FCA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@OCLSpecialPower@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00262AEA,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@Upgrade@@CAPAVMemoryPool@@XZ,upgrade.cpp,110,0x0025613A,72,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@AssistedTargetingUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0027FC1A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@DefaultProductionExitUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002CFE4A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@DeletionUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0028C61A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FireSpreadUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0029277A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FireWeaponUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00292C0A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FlammableUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002933AA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@FloatUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0029500A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@HeightDieUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002955DA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@LaserUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0060390A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@AutoFindHealingUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002814EA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CommandButtonHuntUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0028ABFA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@DemoTrapUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0028C86A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@LifetimeUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0029820A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@RadiusDecalUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002A05AA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@AutoDepositUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00280E1A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ProneUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0029FEDA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@QueueProductionExitUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D06EA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@RadarUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002A025A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SlavedUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002A431A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@StealthDetectorUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002AB58A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@StealthUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002ACCAA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@HijackerUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00295BAA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@StructureCollapseUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002AE30A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@StructureToppleUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002AF30A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SupplyCenterProductionExitUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D23FA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ToppleUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002B117A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ArmorUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D2B1A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CommandSetUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D420A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@LocomotorSetUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D61CA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ObjectCreationUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D6C5A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@RadarUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D7B0A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ModelConditionUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D673A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@StatusBitsUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D7E3A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SubObjectsUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D841A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@StealthUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D806A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@UnpauseSpecialPowerUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D97CA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@WeaponBonusUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002DA38A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@WeaponSetUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002DA54A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@CostModifierUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D460A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@ExperienceScalarUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D503A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@MaxHealthUpgrade@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002D640A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SpecialAbility@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x002A651A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@AnimatedParticleSysBoneClientUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x00602F5A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@SwayClientUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0060455A,71,structural,0,"shape ratio 69%, sizes 110->110",6
?getClassMemoryPool@BeaconClientUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,110,0x0060312A,71,structural,0,"shape ratio 69%, sizes 110->110",6
?getClassMemoryPool@W3DDefaultDraw@@CAPAVMemoryPool@@XZ,w3ddefaultdraw.cpp,110,0x0075125A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@W3DRopeDraw@@CAPAVMemoryPool@@XZ,w3dropedraw.cpp,110,0x0075A5CA,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@Weapon@@CAPAVMemoryPool@@XZ,weaponset.cpp,110,0x002DA54A,71,structural,0,"shape ratio 68%, sizes 110->110",6
?getClassMemoryPool@AIUpdateInterface@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0027F127,70,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@TransportAIUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002C70C7,70,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@WanderAIUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002C75B7,70,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@BoneFXUpdate@@CAPAVMemoryPool@@XZ,bonefxupdate.cpp,113,0x00288E37,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@BridgeBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x001F3607,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@OpenContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x00226457,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@CaveContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x00219AE7,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@HealContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002202A7,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@GarrisonContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0021DCA7,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@TransportContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0022CEB7,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@RiderChangeContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0022A227,69,structural,0,"shape ratio 53%, sizes 113->113",6
?getClassMemoryPool@TunnelContain@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0022F037,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@SupplyTruckAIUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002C5CF7,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@DozerAIUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002B6747,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@DynamicShroudClearingRangeUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0028E597,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@DeployStyleAIUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002B5467,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@AssaultTransportAIUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002B4647,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@BattlePlanUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x002857D7,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@PhysicsBehavior@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0029A987,69,structural,0,"shape ratio 52%, sizes 113->113",6
?getClassMemoryPool@ProductionUpdate@@CAPAVMemoryPool@@XZ,modulefactory.cpp,113,0x0029CC67,69,structural,0,"shape ratio 52%, sizes 113->113",6
