name,address,notes
?makeDecoratedNameKey@ModuleFactory@@KAHABVAsciiString@@H@Z,0x0004B439,ModuleFactory::makeDecoratedNameKey thunk (body 0x00126260)
?nameToKey@NameKeyGenerator@@QAE?AW4NameKeyType@@PBD@Z,0x0003ADD7
?nstrdup@@YAPADPBD@Z,0x009E6410
?readUnicodeString@@YA?AVUnicodeString@@PAU_iobuf@@@Z,0x000322F4,shared replay Unicode string reader thunk
?set@LayoutFilename@@QAEXPBDH@Z,0x00887D20
?strtrim@@YAPADPAD@Z,0x009E7EB0
?winBringToTop@GameWindow@@QAEHXZ,0x0000FE66
?winGetNextInLayout@GameWindow@@QAEPAV1@XZ,0x0002A414
?winGetPrevInLayout@GameWindow@@QAEPAV1@XZ,0x00005399
?winHide@GameWindow@@QAEHH@Z,0x00027F2A
?winSetLayout@GameWindow@@QAEHPAVWindowLayout@@@Z,0x00031881
?winSetNextInLayout@GameWindow@@QAEHPAV1@@Z,0x00035CF6
?winSetPrevInLayout@GameWindow@@QAEHPAV1@@Z,0x00015FB4
_D3DXMatrixInverse@12,0x009FB321
__CIacos,0x009F7256
__CIasin,0x009F7D86
__CIpow,0x009F6FB2
__alloca_probe,0x009F6C60
__ftol2,0x009F6E38,MSVC float-to-int conversion helper (statically linked CRT)
__stringbase_isnone_cmp_char,0x00405E8,internal char string none-comparison helper
__stringbase_isnone_cmp_wchar,0x0041F3D,internal wide-char string none-comparison helper
__stringbase_isnotnone_cmp_char,0x00405E8,internal char string not-none comparison helper
__stringbase_isnotnone_cmp_wchar,0x0041F3D,internal wide-char string not-none comparison helper
_bfme_acos,0x009F7256,internal acos helper called by ACos
_bfme_asin,0x009F7D86,internal asin helper called by ASin
